Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
23;0;;;35/42;1;Externo;263815;GRISSINI PIZZA 120G CX C/15;GRISSINI;GRISSINI PIZZA;CX;110,40;53,00;;;23;1,8;263815;;7,3600;7896207802638;;P ACAB - 2217;GRISSINI PIZZA 120G CX C/15
;;0;C;35/42;1;Externo;233901;GRISSINI SABOR ALHO E SALSA 90G CF;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;UN;2,00;0,00;N;;200;0,09;233901;2339;2,0000;7898707290090;;P ACAB - 22320;GRISSINI SABOR ALHO E SALSA 90G CF
23;0;0;C;35/42;1;Externo;247601;GRISSINI SABOR PARMESAO 90G CF;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;UN;2,00;0,00;N;;;0,09;247601;2476;2,0000;7898707290175;;;GRISSINI SABOR PARMESAO 90G CF
23;0;0;C;35/42;1;Externo;246901;GRISSINI SABOR TRADICIONAL 90G CF;CASA FORTUNATO;GRISSINI ALHO E SALSA - FORT;UN;2,00;0,00;N;;;0,09;246901;2469;2,0000;7898707290182;;;GRISSINI SABOR TRADICIONAL 90G CF
23;0;;;35/42;1;Externo;264501;GRISSINI TOMATE SECO 120G;GRISSINI;GRISSINI  TOMATE SECO;UN;7,36;0,00;N;;;0,12;264501;2645;7,3600;7896207802645;;P ACAB - 2221;GRISSINI TOMATE SECO 120G
23;0;;;35/42;1;Externo;264515;GRISSINI TOMATE SECO 120G CX C/15;GRISSINI;GRISSINI  TOMATE SECO;CX;110,40;0,00;N;;89;1,8;264515;;7,3600;7896207802645;;P ACAB - 2221;GRISSINI TOMATE SECO 120G CX C/15
23;0;0;C;35/42;1;Externo;2126501;MINI GRISSINI TRADICIONAL Kg;grissini jf;Grissini JF;KG;65,71;0,00;N;;;1;2126501;21265;65,7100;;;;MINI GRISSINI TRADICIONAL Kg
23;0;0;C;35/42;1;Externo;221601;MINI TORRADA PANETTONE CHOCOLATE 1K;PANETTONE;PANETTONE CHOCOLATE;KG;40,29;0,00;N;;;1;221601;2216;40,2900;7896207822216;;;MINI TORRADA PANETTONE CHOCOLATE 1K
23;0;;;35/42;1;Interno;2126401;MINI TORRADA PANETTONE Kg;DOCES;FETTA DOLCE RABANADA;KG;37,04;0,00;N;;;1;2126401;21264;37,0400;7896207821264;;P ACAB - 1047;MINI TORRADA PANETTONE Kg
23;0;;;35/42;1;Externo;174501;PANETTONE C/ GTS CHOC 100G;PANETTONE;PANETTONE CHOCOLATE;UN;1,79;0,00;N;;;0,1;174501;1745;1,7900;7896207803987;;P ACAB - 22024;PANETTONE C/ GTS CHOC 100G
23;0;;;35/42;1;Externo;360401;PANETTONE C/ GTS CHOC C/COB DE AMENDOAS 1K;PANETTONE;PANETTONE CHOCOLATE;UN;87,00;0,00;N;;;1;360401;3604;87,0000;7896207803604;;P ACAB - 5014;PANETTONE C/ GTS CHOC C/COB DE AMENDOAS 1K
0;0;0;C;35/42;1;Externo;9074801;PANETTONE CEREJA 100G CF;CASA FORTUNATO;Panettones Casa Fortunato;UN;1,79;0,00;N;;;0,1;9074801;90748;1,7900;7898707290748;;;PANETTONE CEREJA 100G CF
0;0;0;C;35/42;1;Externo;9058801;PANETTONE CEREJA 700G CF;CASA FORTUNATO;Panettones Casa Fortunato;UN;30,27;0,00;N;;;0,7;9058801;90588;30,2700;7898707290588;;P ACAB - 22336;PANETTONE CEREJA 700G CF
;;;;35/42;1;Externo;9058808;PANETTONE CEREJA 700G CF CX C/8;CASA FORTUNATO;Panettones Casa Fortunato;CX;242,16;0,00;N;;;5,6;9058808;;30,2700;;;P ACAB - 22336;PANETTONE CEREJA 700G CF CX C/8
